"页码","课程名称","教学点信息","课程教材"
"25","日语202510","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"25","外语","关岭德才教育 关岭德才教育培训有限责任公司","标准日语"
"26","2024年秋季日语1班","长沙市天心区文都培训学校有限公司 长沙市天心区文都培训学校有限公司","新编日语教程"
"26","高考日语课程","陆丰市东海佑安教育培训中心 陆丰市东海佑安教育培训中心","--"
"26","零基础兴趣班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语九年级全一册"
"26","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（下）"
"26","高中日语课程","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"26","高一升高二日语","关岭德才教育 关岭德才教育培训有限责任公司","日语"
"26","体验课","赣州市赣县区弘艺教育培训中心 赣州市赣县区弘艺教育培训中心","标准日本语"
"26","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"26","人教日语","河北省石家庄市新华区中华北大街210号高柱大厦728、729 石家庄市新华区词韵培训学校有限公司","人教版日语七年级"
"26","高中学科班课","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","艺考生文化课"
"27","测试班","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","新经典日本语第二册"
"27","冲刺营","广州市海珠区承明教育培训中心 广州市海珠区承明教育培训中心","--"
"27","高考日语进阶班6","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"27","日语教程1","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程1"
"27","20251203","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语必修第一册"
"27","高考日语听力","泰安市泰山区天诺教育培训学校 泰安市泰山区天诺教育培训学校","高中日语必修第一册"
"27","高一日语","长沙市天心区澳领培训学校有限公司 长沙市天心区澳领培训学校有限公司","--"
"27","2504高中人教日语","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"27","高中日语2","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","--"
"27","全日制课程初级上","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语标准习题集初级1"
"28","全日制课程初级下（二）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语句型练习册初级2"
"28","日语","厦门市同安区泛学广思培训学校 厦门市同安区泛学广思培训学校","日语"
"28","高中日语初级班","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","--"
"28","高三日语","厦门市同安区泛学广思培训学校 厦门市同安区泛学广思培训学校","--"
"28","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","--"
"28","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（下）"
"28","高二日语A","厦门市思明区悦读明智课外培训中心 厦门市思明区悦读明智课外培训中心","日语必修1"
"28","高中日语试听课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"28","高中日语","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"28","日语入门课","长沙县远山教育培训学校 长沙县远山教育培训学校","日语七年级全一册"
"29","高考复读日语集训","仁怀市立雪培训中心 仁怀市立雪培训中心","华东理工大学出版社"
"29","2023年暑假日语1班","长沙市天心区文都培训学校有限公司 长沙市天心区文都培训学校有限公司","新编日语教程"
"29","高三日语班","仙游县启航教育培训中心 仙游县启航教育培训中心","人教版日语"
"29","日语课程2023.9","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语选择性必修第一册"
"29","高中日语初级班","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","--"
"29","高中日语","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"29","高二高考日语进阶","威海市环翠区永幸教育培训学校 威海市环翠区永幸教育培训学校","人教版日语教材 八年级"
"29","2024高考冲刺班","易考学校 武汉市洪山区易考文化培训学校有限公司","必修第三册日语"
"29","高考日语暑期集训","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"29","日语提升班","长沙县远山教育培训学校 长沙县远山教育培训学校","日语七年级全一册"
"30","2024秋高一日语","厦门市思明区悦读明智课外培训中心 厦门市思明区悦读明智课外培训中心","新起点日语"
"30","高中日语","江科科技园内J22栋4层 南昌高新区五柳教育培训学校","高中日语必修第一二三册选择性必修第一二册全套5本人教版"
"30","高考日语","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"30","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"30","日语寒假集训班","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"30","日语阅读提升","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","新高考日语阅读对策与模拟"
"30","高中日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","新版中日交流标准日本语（第二版）初级"
"30","高考日语进阶班","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"30","日语高级班202304","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"30","高考日语试学课","陆丰市东海佑安教育培训中心 陆丰市东海佑安教育培训中心","--"
"31","2025秋季强化日语班","长沙市天心区文都培训学校有限公司 长沙市天心区文都培训学校有限公司","新编日语教程"
"31","高中日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","新版中日交流标准日本语（第二版）初级"
"31","高三日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"31","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","--"
"31","24届高三2","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语必修第一册"
"31","全日制课程初级上","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语标准习题集初级1"
"31","过级日语","长沙县远山教育培训学校 长沙县远山教育培训学校","新版标准日本语初级上"
"31","高三日语冲刺班","郴州市苏仙区智怀戴氏教育培训学校有限公司 郴州市苏仙区智怀戴氏教育培训学校有限公司","标准日本语"
"31","高一基础日语","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","日语八年级（全一册）"
"31","高中日语1","上海博世凯进修学院 上海博世凯进修学院","日语必修第一册"
"32","高中日语初级班1","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"32","高考日语一对一","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","教材"
"32","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"32","文综科目班课","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","--"
"32","日语基础班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语八年级全一册"
"32","阅读技巧提升1班","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","新高考日语阅读对策与模拟"
"32","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","--"
"32","人教日语","河北省石家庄市新华区中华北大街210号高柱大厦728、729 石家庄市新华区词韵培训学校有限公司","人教版日语七年级"
"32","高一日语（20250520班）","厦门市思明区悦读明智课外培训中心 厦门市思明区悦读明智课外培训中心","新起点日语"
"32","日语一班","上海浦东新区常青进修学校 上海浦东新区常青进修学校","日语"
"33","日语零基础班课","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","教材"
"33","高二日语","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","日语八年级（全一册）"
"33","高三日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","高考日语蓝宝书语法"
"33","高考日语冲刺班","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","大家的日语中级1"
"33","高二日语班","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语必修第三册"
"33","兴趣班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语九年级全一册"
"33","高中日语赏析","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","新版中日交流标准日本语"
"33","日语课程","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语选择性必修第一册"
"33","12月日语","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","--"
"33","2024年上学期日语考级课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"34","高二日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"34","高考日语进阶班5","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"34","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","--"
"34","高考冲刺班06","南昌高新区新状元文化艺术学校 南昌高新区新状元文化艺术学校","高考日语"
"34","全日制课程初级下（三）","长沙市岳麓区行知研语培训学校有限公司 长沙市岳麓区行知研语培训学校有限公司","大家的日语句型练习册初级2"
"34","高中日语1","上海博世凯进修学院 上海博世凯进修学院","日语必修第一册"
"34","日语体验课","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"34","兴趣班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语九年级全一册"
"34","高考日语","泰安市泰山区天诺教育培训学校 泰安市泰山区天诺教育培训学校","标准日本语初级上下册"
"34","日语零基础班课","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","教材"
"35","10月日语班","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语选择性必修第二册"
"35","日语暑期集训","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","高考日语作文训练"
"35","高二日语","贵阳市花溪区溪北街道办溪北路麒龙溪园生洲阁一层4-5号 贵阳市花溪区外国语培训学校","--"
"35","日语","上海浦东新区常青进修学校 上海浦东新区常青进修学校","日语"
"35","日语20250331","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"35","高三第一轮复习","怀化市鹤城区经纬培训学校有限公司 怀化市鹤城区经纬培训学校有限公司","标准日本语初级(下)"
"35","高中日语提升班","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语 必修 第一册"
"35","高中艺术生文化生日语","广州海珠区拓鑫教育 广州海珠区拓鑫教育培训中心有限公司","全日制课程自编教材"
"35","高中日语试听课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"35","日语","武汉市洪山区沐晨鑫教育培训学校有限公司 武汉市洪山区沐晨鑫教育培训学校有限公司","日语"
"36","过级日语","长沙县远山教育培训学校 长沙县远山教育培训学校","新版标准日本语初级上"
"36","高三第一轮复习","怀化市鹤城区经纬培训学校有限公司 怀化市鹤城区经纬培训学校有限公司","标准日本语初级(下)"
"36","文综班课","景德镇市珠山区文尚文化培训学校 景德镇市珠山区文尚文化培训学校","教材"
"36","高中日语2026","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语必修第一册"
"36","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（下）"
"36","高中日语提升班","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语 必修 第一册"
"36","10月日语班","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语选择性必修第二册"
"36","日语入门课","长沙县远山教育培训学校 长沙县远山教育培训学校","日语七年级全一册"
"36","高考复读日语集训","仁怀市立雪培训中心 仁怀市立雪培训中心","华东理工大学出版社"
"36","2023年暑假日语1班","长沙市天心区文都培训学校有限公司 长沙市天心区文都培训学校有限公司","新编日语教程"
"37","高中日语","上海博世凯进修学院 上海博世凯进修学院","日语必修第一册"
"37","2025年秋季日语班（强化）","长沙市天心区文都培训学校有限公司 长沙市天心区文都培训学校有限公司","新编日语教程"
"37","日语入门1-2","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程1"
"37","高二日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"37","高考日语进阶班5","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"37","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","--"
"37","高考日语高二年级","博硕教育培训学校 贵溪市博硕教育培训学校","新经典日本语"
"37","高一日语","厦门市思明区悦读明智课外培训中心 厦门市思明区悦读明智课外培训中心","新起点日语"
"37","日语体验课","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"37","日语加强班","仙游县启航教育培训中心 仙游县启航教育培训中心","标准日本语"
"38","高中日语1","上海博世凯进修学院 上海博世凯进修学院","日语必修第一册"
"38","高二日语","莆田市涵江区艾迪苍然教育培训中心 莆田市涵江区艾迪苍然教育培训中心","--"
"38","日语考级冲刺课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"38","日语暑期集训","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","--"
"38","留学日语","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"38","日语班","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语必修第一册"
"38","高中日语试听课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"38","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"38","2024高中日语","赣州市赣县区弘艺教育培训中心 赣州市赣县区弘艺教育培训中心","标准日本语"
"38","高三日语","莆田市涵江区艾迪苍然教育培训中心 莆田市涵江区艾迪苍然教育培训中心","新版 中日交流标准日本语 第二版 初级下"
"39","高二日语","景德镇邦沃课外培训有限公司 景德镇邦沃课外培训有限公司","人民教育出版社 日语"
"39","高一日语2","赣州市赣县区弘艺教育培训中心 赣州市赣县区弘艺教育培训中心","标准日本语"
"39","专家级日语课程","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程2"
"39","小语种2023.12-2024.2","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","日语八年级（全一册）"
"39","高考日语精品班","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"39","高一基础班","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语七年级全一册"
"39","日语基础班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语八年级全一册"
"39","日语","仁怀市鲁班大道尚礼社区幸福花园小区 仁怀市立雪培训中心","华东理工大学出版社"
"39","日语","陆丰市甲子镇优师教育培训中心 陆丰市甲子镇优师教育培训中心","中日交流标准日本语"
"39","日语初级","上海徐汇区巧易思进修学校 上海徐汇区巧易思进修学校","标准日本语"
"40","高三日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","高考日语蓝宝书语法"
"40","高二日语","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","日语八年级（全一册）"
"40","日语A","陆丰市甲子镇优师教育培训中心 陆丰市甲子镇优师教育培训中心","中日交流标准日本语"
"40","高二基础日语","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","--"
"40","高中日语强化班","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语 必修 第一册"
"40","高考日语","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"40","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"40","高中日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","新版中日交流标准日本语（第二版）初级"
"40","日语寒假集训班","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"40","高一日语","贵阳市花溪区溪北街道办溪北路麒龙溪园生洲阁一层4-5号 贵阳市花溪区外国语培训学校","--"
"41","文化课全托班","石家庄市长安区知行文化艺术培训学校 石家庄市长安区知行文化培训学校","新版中日交流标准日本语 第二版"
"41","日语入门课","长沙县远山教育培训学校 长沙县远山教育培训学校","新版标准日本语初级上"
"41","高考日语","陆丰市东海佑安教育培训中心 陆丰市东海佑安教育培训中心","--"
"41","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","--"
"41","高三日语","厦门市同安区泛学广思培训学校 厦门市同安区泛学广思培训学校","日语"
"41","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"41","2025秋季强化日语班","长沙市天心区文都培训学校有限公司 长沙市天心区文都培训学校有限公司","新编日语教程"
"41","高中日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","新版中日交流标准日本语（第二版）初级"
"41","高考日语冲刺班","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","大家的日语中级1"
"41","高考日语暑期集训","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"42","高三日语","汕尾市城区粤星教育培训中心 汕尾市城区粤星教育培训中心","新版中日交流标准日本语（第二版）初级"
"42","日语教程1","福州市仓山区樱花日语培训中心 福州市仓山区樱花日语培训中心","日语教程1"
"42","零基础高考日语","泰安市泰山区天诺教育培训学校 泰安市泰山区天诺教育培训学校","标准日本语初级上下册"
"42","日语考级课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","大家的日语中级1"
"42","2025日语","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"42","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","--"
"42","日语N2考级冲刺课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","--"
"42","高三日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"42","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（下）"
"42","日语考级冲刺课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"43","2024高考冲刺班","易考学校 武汉市洪山区易考文化培训学校有限公司","必修第三册日语"
"43","高二高考日语进阶","威海市环翠区永幸教育培训学校 威海市环翠区永幸教育培训学校","人教版日语教材 八年级"
"43","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"43","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（下）"
"43","高三日语班","仙游县启航教育培训中心 仙游县启航教育培训中心","人教版日语"
"43","高一基础日语","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","日语八年级（全一册）"
"43","高中日语1","上海博世凯进修学院 上海博世凯进修学院","日语必修第一册"
"43","高考日语课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","--"
"43","高考日语课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"43","日语考级冲刺课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","大家的日语中级1"
"44","高一日语","厦门市思明区悦读明智课外培训中心 厦门市思明区悦读明智课外培训中心","新起点日语"
"44","高一日语班课","长沙市天心区澳领培训学校有限公司 长沙市天心区澳领培训学校有限公司","--"
"44","高一日语秋","长沙市天心区澳领培训学校有限公司 长沙市天心区澳领培训学校有限公司","普通高中教科书日语必修"
"44","2026年1月日语","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","日语九年级（全一册）"
"44","20260101","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语必修第一册"
"44","25年高考日语冬季1班","六安市裕安区星空教育培训学校 六安市裕安区星空教育培训学校","日语必修"
"44","全日制一阶段","长沙市岳麓区言吉教育培训学校有限公司 长沙市岳麓区言吉教育培训学校有限公司","标准日本语初级上册"
"44","全日制N2","长沙市岳麓区言吉教育培训学校有限公司 长沙市岳麓区言吉教育培训学校有限公司","标准日本语中级下册"
"44","日语N2试听课","长沙市岳麓区言吉教育培训学校有限公司 长沙市岳麓区言吉教育培训学校有限公司","标准日本语中级上册"
"44","高中日语零基础班","长沙市岳麓区言吉教育培训学校有限公司 长沙市岳麓区言吉教育培训学校有限公司","人教版日语教材"
"45","零基础试听课20241219","长沙市岳麓区言吉教育培训学校有限公司 长沙市岳麓区言吉教育培训学校有限公司","标准日本语初级上册"
"45","日语零基础1班","长沙市岳麓区言吉教育培训学校有限公司 长沙市岳麓区言吉教育培训学校有限公司","--"
"45","零基础试听课","长沙市岳麓区言吉教育培训学校有限公司 长沙市岳麓区言吉教育培训学校有限公司","--"
"45","零基础班","长沙市岳麓区言吉教育培训学校有限公司 长沙市岳麓区言吉教育培训学校有限公司","--"
"45","零基础试听课","长沙市岳麓区言吉教育培训学校有限公司 长沙市岳麓区言吉教育培训学校有限公司","标准日本语初级下册"
"45","日语零基础班","长沙市岳麓区言吉教育培训学校有限公司 长沙市岳麓区言吉教育培训学校有限公司","--"
"45","日语课程","潍坊市奎文区优胜教育培训学校 潍坊市奎文区优胜教育培训学校","普通高中教科书日语必修（第一册）"
"45","高中日语","潍坊市奎文区优胜教育培训学校 潍坊市奎文区优胜教育培训学校","--"
"45","日语","潍坊市奎文区优胜教育培训学校 潍坊市奎文区优胜教育培训学校","--"
"45","标准日本语","汉台区见山学科类培训学校 汉台区见山学科类培训学校","标准日本语"
"46","高考日语暑期集训","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"46","日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"46","高二日语初级（上）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（上）"
"46","高三日语初级（下）","长春市朝阳区起点培训学校 长春市朝阳区起点培训学校","标准日本语初级（下）"
"46","高中日语2025.4","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语必修第一册"
"46","2024年春季高三日语包","厦门市同安区泛学广思培训学校 厦门市同安区泛学广思培训学校","日语"
"46","高考日语进阶版2","源城区京成教育培训中心 河源市源城区京成教育培训中心","中日交流标准日本语"
"46","高考日语进阶班7","源城区京成教育培训中心 河源市源城区京成教育培训中心","--"
"46","高考日语","博硕教育培训学校 贵溪市博硕教育培训学校","新经典日本语"
"46","日语零基础班","丰城市学者课外培训中心 丰城市学者课外培训中心","--"
"47","高二日语","厦门市同安区泛学广思培训学校 厦门市同安区泛学广思培训学校","日语"
"47","2024日语课","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","高中日语必修第一册"
"47","零基础兴趣班","优见教育计星校区 茂名市茂南区优见计星教育培训中心","日语七年级全一册"
"47","高中英语","长沙市岳麓区互鉴教育培训学校 长沙市岳麓区知诺培训学校有限公司","5年高考3年模拟"
"47","高二日语2班","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","日语必修第二册人民教育出版社"
"47","日语1班","上海浦东新区常青进修学校 上海浦东新区常青进修学校","日语"
"47","日语班高三","怀化市鹤城区经纬培训学校有限公司 怀化市鹤城区经纬培训学校有限公司","标准日本语初级(下)"
"47","日语","景德镇邦沃课外培训有限公司 景德镇邦沃课外培训有限公司","人教版日语必修"
"47","日语入门班","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"47","小班阅读提升","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","新高考日语阅读对策与模拟"
"48","高二日语班","仙游县启航教育培训中心 仙游县启航教育培训中心","人教版日语"
"48","高三日语","陆丰市甲子镇优师教育培训中心 陆丰市甲子镇优师教育培训中心","中日交流标准日本语"
"48","日语教程","枞阳湖畔教育培训学校有限责任公司 枞阳湖畔教育培训学校有限责任公司","日语教材"
"48","24届冲刺班","莆田市城厢区智源教育培训中心 莆田市城厢区智源教育培训中心","日语选择性必修第二册人民教育出版社"
"48","高中日语试听课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"48","高中日语2024","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"48","高中日语试听课","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语必修第二册"
"48","高一基础日语","枣庄市峄城区三立教育培训学校 枣庄市峄城区三立教育培训学校","日语七年级（全一册）"
"48","高考日语","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"48","必修强化班","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语 必修 第一册"
"49","2024年春季日语1班","长沙市天心区文都培训学校有限公司 长沙市天心区文都培训学校有限公司","新编日语教程"
"49","日语考级课程","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"49","高中日语强化班","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语 必修 第一册"
"49","506","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","--"
"49","高二日语9","济南高新国际人力资源服务产业园十楼 济南市高新区玖和柒培训学校有限公司","普通高中日语（必修二）"
"49","高二日语18","济南高新国际人力资源服务产业园十楼 济南市高新区玖和柒培训学校有限公司","--"
"49","高二日语16","济南高新国际人力资源服务产业园十楼 济南市高新区玖和柒培训学校有限公司","普通高中日语（必修三）"
"49","高一日语9.40","济南高新国际人力资源服务产业园十楼 济南市高新区玖和柒培训学校有限公司","八年级全一册（日语）"
"49","高一日语12.25","济南高新国际人力资源服务产业园十楼 济南市高新区玖和柒培训学校有限公司","--"
"49","高一日语10.16","济南高新国际人力资源服务产业园十楼 济南市高新区玖和柒培训学校有限公司","--"
